ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,Site Name,Elect Cons (kWh),Elect CO2 (tonnes),Gas Cons (kWh),Gas CO2 (tonnes),Total CO2 (tonnes),Total kWh
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Adult Training Centre - Bramley Fulfilling Lives,97125,52.544625,554839.61,101.8685524,154.4131774,651964.61
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Adult Training Centre - Potternewton Fulfilling Lives Service,98485,53.280385,651741.41,119.6597229,172.9401079,750226.41
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Adult Training Centre - Ramshead Wood Day & Adult Training Centre,89477,48.407057,191659.35,35.18865666,83.59571366,281136.35
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Adult Training Centre - Rothwell Fulfilling Lives,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Adult Training Centre - West Ardsley,82668,44.723388,715855.56,131.4310808,176.1544688,798523.56
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Adult Training Centre - Wetherby,26587,14.383567,247933.06,45.52050982,59.90407682,274520.06
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Cobden Road Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Common Lane Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Dolphin Lane Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Field Terrace Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Great Preston Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Lady Pit Lane Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Lastingham Road Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - New Wortley Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Rooms Lane Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Seacroft Hall Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Shafton Lane Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - St Annes Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Stanningley Road Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Stonegate Road Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Telford Terrace Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Westover Road Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Allotments - Woodhouse Moor Allotment Gardens,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 1 - 11 Aberfield Rise,1491,0.806631,0,0,0.806631,1491
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 100 - 112 Aberfield Drive,1160,0.62756,0,0,0.62756,1160
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 103 - 113 Aberfield Drive,3329,1.800989,0,0,1.800989,3329
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 115 - 125 Aberfield Drive,1411,0.763351,0,0,0.763351,1411
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 127 - 137 Aberfield Drive,2581,1.396321,0,0,1.396321,2581
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 14 - 22 Aberfield Crest,1756,0.949996,0,0,0.949996,1756
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 15 - 25 Aberfield Rise,2615,1.414715,0,0,1.414715,2615
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 179 - 189 Aberfield Drive,1518,0.821238,0,0,0.821238,1518
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 191 - 201 Aberfield Drive,2381,1.288121,0,0,1.288121,2381
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 2 - 12 Town Street,544,0.294304,0,0,0.294304,544
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 21 - 31 Winrose Approach,2659,1.438519,0,0,1.438519,2659
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 27 - 37 Aberfield Rise,2192,1.185872,0,0,1.185872,2192
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 33 - 43 Winrose Approach,2495,1.349795,0,0,1.349795,2495
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 39 - 49 Aberfield Rise,2082,1.126362,0,0,1.126362,2082
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 45 - 55 Winrose Approach,2279,1.232939,0,0,1.232939,2279
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 65 - 75 Winrose Approach,1252,0.677332,0,0,0.677332,1252
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Landlords Supply - 77 - 87 Winrose Approach,4690,2.53729,0,0,2.53729,4690
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 1 - 3 Winrose Drive,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 1-7 Belle Isle Circus,7,0.003787,0,0,0.003787,7
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 15 - 21 Winrose Grove,1,0.000541,0,0,0.000541,1
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 19 - 25 Belle Isle Circus,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 23 - 29 Winrose Grove,3,0.001623,0,0,0.001623,3
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 27 - 33 Belle Isle Circus,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 39 - 45 Winrose Drive,44,0.023804,0,0,0.023804,44
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 47 - 53 Winrose Drive,95,0.051395,0,0,0.051395,95
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 5 - 11 Winrose Drive ,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 5 - 11 Winrose Grove,18,0.009738,0,0,0.009738,18
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 50 - 56 Belle Isle Circus,0,0,0,0,0,0
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 55 - 61 Winrose Drive,8,0.004328,0,0,0.004328,8
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 66 - 72 Belle Isle Circus,2,0.001082,0,0,0.001082,2
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 74 - 80 Belle Isle Circus,7,0.003787,0,0,0.003787,7
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,BITMO - Sheltered Housing - 9 - 17 Belle Isle Circus,4,0.002164,0,0,0.002164,4
42037,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/metricType/440,CO2 emissions estimates - total,Care Home - 136 Tynwald Drive,3757,2.032537,30601.32,5.618402352,7.650939352,34358.32
